codigo_cuenca,id_cuenca,nombre_cuenca,1,2,3,4,5,6,7,8,9,10,11,12
10,0,Altiplanicas,78217.5655317366,71429.7167047467,83832.1134469213,61855.9653128324,64553.9913844184,67079.2753053601,73563.4385848081,74330.6884294359,75541.1265739891,82875.356629042,94591.4184073648,81803.1885136104
12,1,Rio Lluta,289466.386114884,659003.53776412,925828.324130157,483189.254162367,134644.680909351,121126.265713032,132793.034937237,158456.771059502,351997.295643386,461495.792862611,520155.588165392,218274.969375064
13,2,Río San José,95364.2932609534,127909.907757638,155895.941714117,87888.224771675,92124.581527359,86104.1500793894,93581.0767792339,64228.4268149453,75435.045075731,89759.1182290006,86900.4613665365,78061.8776513743
14,3,Costeras R.San Jose-Q.Camarones,20530.4802934019,97882.2905184987,104272.773748321,23535.0923298061,10898.6595513899,9590.98507614262,8809.0797585771,9649.92188774137,9250.72551956224,7984.04664153505,7486.09916799038,7441.27587788445
15,4,Q. Rio Camarones,129832.924918222,131119.205838506,152386.176479829,59930.2341025494,59933.3028262567,73358.5913572114,78385.2648378691,81108.950143657,77883.7252202227,75540.0694239804,75490.4554015738,74276.3249768771
16,5,Costeras R.Camarones-Pampa Del Tamarugal,80061.3506474288,112587.847307396,130927.243092996,56319.4478765335,56071.2679777865,406442.709445699,44074.8241331285,47917.7909104026,51102.6084688282,107029.32294333,86021.2965034894,49954.6319285199
17,6,Pampa Del Tamarugal,29384.9495293846,27716.8487275244,26227.9866337431,24361.978471362,26980.5752339897,25893.2108032041,34940.7303869164,46182.297067087,27646.0327541234,33737.1024530957,33470.5470704961,35051.5421241001
21,7,Rio Loa,111507.033148616,172915.025981613,180989.384691738,153140.965925792,220467.168502113,222355.831053268,215169.323442161,258131.21601582,242036.436217049,159944.383925907,130259.705627544,95484.0722872411
25,8,Salar De Atacama,19835.1941297656,17463.6862174287,18653.1544919892,20705.9558926965,25752.5443512016,29285.3433407486,32491.2590328976,23873.451891129,23285.5110461328,23732.7212707686,22277.5708200445,22569.1857709045
30,9,Endorreicas entre Frontera y Vertiente del pacifico,81685.2865785769,73561.9431289025,70345.3773218827,71512.0839170105,110325.468813266,199216.202881257,266308.076895052,276775.0545561,214133.163492004,62180.2876660989,46193.5538637724,57739.4547471254
32,10,Rio Salado,154707.61886311,288995.734227235,286719.725955225,189147.381745484,204540.567220411,198632.791007329,274525.166887433,271908.213795731,232429.652017923,214709.645024337,176080.51458943,186148.960943635
34,11,Rio Copiapo,255005.923251678,205844.910239366,189492.530697172,173773.968494176,448818.924274534,482405.52928709,366837.984441858,291694.173529094,313263.255887,340554.439770566,564837.875184494,738266.088924629
38,12,Rio Huasco,1004882.46371922,728670.3212824,732596.015280943,578097.419088594,767114.465087413,704545.568538381,729221.411515386,967826.014415491,1002944.79890829,1206475.73980269,1600449.47922014,2043409.70350483
43,13,Rio Elqui,1386630.70352696,972180.526294998,808277.12763414,751738.964037846,782600.455374335,876421.884520438,1015056.02146545,1337450.06444771,1099800.76745973,1663272.30286662,2055952.36321747,2251121.15865906
44,14,Costeras R.Elqui-R.Limari,834.847256021176,766.218441249432,851.514272892631,840.290822158266,1169.65191432878,2521.69258141942,3677.69157964282,3798.57403635343,489.145339734745,508.161995333629,509.449572888563,523.551766372754
45,15,Rio Limari,170074.00319639,127253.375276155,120563.254473262,130960.59298395,701731.309671004,643840.736480193,1256718.00678814,699669.163323801,618208.031660656,1382548.12408989,816552.268647699,569184.592698496
47,16,Rio Choapa,744450.380642414,516518.124126282,555440.592126924,1026631.57246441,2188890.80837993,6571409.66607942,8367447.97926135,13298609.864346,9066512.62093034,9191877.36385583,5743720.57101781,2944469.57030984
48,17,Costeras R.Choapa-R.Quilimari,1207.66092008876,1282.56615727207,1582.14562684939,2286.82208329951,3132.17372361611,5833.18177386064,6963.14216178152,8495.74177230045,3978.3833535476,2441.83821348554,2692.94517706447,4466.62364571915
51,18,Rio Petorca,33040.1979493787,33817.535552223,14497.5790879088,18186.9815249177,57640.0393075403,136970.1504378,128670.465658765,128981.584578005,117678.046116057,173736.375552844,152862.814321235,152372.63852301
52,19,Rio Ligua,63037.5708812237,46809.065217744,36733.443608172,33747.4011595541,44932.9855590612,87311.259147208,71994.04325935,106497.589864897,125502.705125283,187984.214131753,180290.19110432,137181.346040632
53,20,Costeras Ligua-Aconcagua,1592.44901419941,1562.04869842547,1478.59433803075,884.580073336442,835.060324851084,28057.8746464835,30217.6147671094,26019.375157312,12430.6668352932,11365.6174859129,10873.4090549925,9886.5997669243
54,21,Rio Aconcagua,2164877.22599012,1072698.26924464,689845.995756284,736523.676954754,822312.081519633,971109.789675768,967942.41551324,1114285.98068096,1032511.0600041,1406221.29366835,2394717.33843066,3827656.1067482
57,22,Rio Maipo,4532088.89527409,3130561.64139284,2469604.0319182,3102112.7219627,2950747.03048706,2979225.3929119,2895457.10704096,3535710.09604623,3229480.04939737,4136480.9630652,5218804.76098428,6686149.2288006
60,23,Rio Rapel,4597135.99513092,3028305.19748318,2601439.30225918,4013099.94594726,4433879.32610726,4442635.69054811,4769604.33302775,6878818.80863262,5405150.73141426,6030429.38080933,7428671.79748715,7815095.16650614
71,24,Rio Mataquito,3247284.8824911,2060649.4883851,1584574.79821185,3797988.08171032,3628399.96161237,6112576.42796923,7108060.27448924,11851572.4331033,9161024.42305629,12014677.0504725,14329353.478499,11095403.7104206
