consumo (m3);mes;id_comuna
49729.96;1;188
52673.91;2;188
44936.96;3;188
44214.03;4;188
37666.97;5;188
38163.96;6;188
40871.29;7;188
38784.97;8;188
36728.08;9;188
39487.95;10;188
42835.01;11;188
42488.32;12;188
27103.0;1;109
29762.0;2;109
27625.99;3;109
27905.99;4;109
23016.99;5;109
22390.01;6;109
21317.01;7;109
21814.01;8;109
22280.0;9;109
23780.0;10;109
25981.99;11;109
27563.0;12;109
43332.0;1;222
43641.0;2;222
42970.0;3;222
39357.0;4;222
37639.0;5;222
36030.0;6;222
37545.0;7;222
38950.0;8;222
37454.0;9;222
38839.0;10;222
42125.0;11;222
43938.0;12;222
28919.0;1;228
26472.0;2;228
25677.0;3;228
25648.0;4;228
23020.0;5;228
23531.0;6;228
20041.0;7;228
20306.0;8;228
21769.0;9;228
24086.0;10;228
23833.0;11;228
25755.0;12;228
26347.03;1;171
27684.02;2;171
26494.03;3;171
24833.020000000004;4;171
26464.0;5;171
24752.01;6;171
24314.01;7;171
24970.01;8;171
23060.99;9;171
24638.47;10;171
25080.98;11;171
26266.98;12;171
412378.85;1;12
439306.35;2;12
411003.48;3;12
393400.97;4;12
347732.92000000004;5;12
295523.23000000004;6;12
273724.24;7;12
262145.65;8;12
270295.63000000006;9;12
307132.01;10;12
353808.75;11;12
391928.31;12;12
89059.0;1;60
92599.0;2;60
88110.0;3;60
85401.0;4;60
81570.0;5;60
76136.63;6;60
74458.0;7;60
73598.0;8;60
73162.3;9;60
81214.0;10;60
85280.0;11;60
91302.01;12;60
416080.15;1;50
399601.51;2;50
387467.87000000005;3;50
384018.69;4;50
363522.44;5;50
350885.8;6;50
337748.60000000003;7;50
331657.44000000006;8;50
352948.76000000007;9;50
361094.82;10;50
378800.72;11;50
396397.39;12;50
59625.0;1;57
58472.0;2;57
55999.0;3;57
47741.0;4;57
49577.0;5;57
47902.0;6;57
47853.0;7;57
45628.0;8;57
46321.0;9;57
46269.0;10;57
48940.0;11;57
51615.0;12;57
14789.0;1;103
15307.0;2;103
14533.0;3;103
13724.0;4;103
13204.0;5;103
12096.0;6;103
12582.0;7;103
12025.0;8;103
12239.0;9;103
13342.0;10;103
