comuna,id_predio,Superficie (ha),Consumo mensual,id_comuna
alto hospicio,0,38457.5,23074428.0,219
ancud,1,4417.333333,2650458.0,179
angol,2,13668.0,8200872.73,10
arauco,3,47647.0,28588187.99,142
arica,4,13224.0,7934388.0,201
buin,5,2804.0,1682628.0,217
bulnes,6,2815.0,1689119.103,118
cabildo,7,11318.16667,6790854.95,181
cabrero,8,16129.0,9677346.345,154
calama,9,147412.5,88447611.0,220
calbuco,10,3052.0,1831380.0,29
calle larga,11,23692.0,14215200.0,112
canete,12,16259.33333,9755658.0,17
carahue,13,18011.0,10806567.68,91
cartagena,14,2048.5,1229181.0,86
casablanca,15,3143.0,1885761.0,80
catemu,16,7317.0,4390200.0,27
cauquenes,17,15761.33333,9456899.61,116
chanco,18,11692.0,7015300.341,191
chepica,19,4064.0,2438589.0,156
chiguayante,20,6140.25,3684203.875,167
chile chico,21,75896.5,45537960.0,40
chillan,22,4911.0,2946463.295,130
chillan viejo,23,4382.0,2628942.477,62
chimbarongo,24,3447.0,2068200.0,83
cholchol,25,3883.0,2329787.421,81
chonchi,26,16555.25,9933193.5,70
cobquecura,27,14996.0,8997782.591,31
cochrane,28,6116.888889,3670161.333,223
coelemu,29,13266.0,7959785.3,42
coihueco,30,14404.75,8642848.62,140
colina,31,5920.0,3552106.875,85
collipulli,32,35913.0,21547693.31,76
combarbala,33,10364.0,6218401.333,228
concepcion,34,8380.0,5028053.995,172
concon,35,3350.0,2009937.0,110
constitucion,36,24613.33333,14767935.45,162
contulmo,37,13702.0,8221128.005,22
coquimbo,38,21065.33333,12639162.0,78
coronel,39,10065.5,6039240.0,39
corral,40,12455.0,7473080.21,131
coyhaique,41,14251.90476,8551157.029,90
cunco,42,9243.0,5545805.112,216
curacautin,43,16937.57143,10162569.54,108
curacavi,44,2301.5,1380840.0,173
curanilahue,45,77566.0,46539666.0,208
curepto,46,33959.0,20375398.37,176
curico,47,4912.333333,2947391.682,82
el carmen,48,8000.333333,4800161.937,209
el quisco,49,3366.0,2019636.0,121
el tabo,50,3366.0,2019636.0,119
empedrado,51,26352.0,15811445.74,97
ercilla,52,14948.0,8968912.74,153
florida,53,16939.0,10163290.27,99
frutillar,54,2046.0,1227600.0,143
futaleufu,55,48189.0,28913274.0,200
